시도교육청코드,시도교육청명,표준학교코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일
G10,대전광역시교육청,7451071,대전구봉초등학교,2,중식,20221130,785,채소비빔밥/약고추장  (5.6.)<br/>부추계란국  (1.9.13.)<br/>나박김치  <br/>귤  <br/>메이플피칸파이  (1.2.5.6.14.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,570.4 Kcal,탄수화물(g) : 86.3<br/>단백질(g) : 21.8<br/>지방(g) : 17.3<br/>비타민A(R.E) : 346.7<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 41.8<br/>칼슘(mg) : 205.2<br/>철분(mg) : 3.9,20221103
G10,대전광역시교육청,7451071,대전구봉초등학교,2,중식,20221129,785,찰보리밥  <br/>오징어뭇국  (5.6.17.)<br/>참나물두부깨무침  (5.)<br/>돈육버섯불고기  (5.6.10.)<br/>배추김치  (9.)<br/>바람떡  ,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,492.1 Kcal,탄수화물(g) : 75.8<br/>단백질(g) : 32.7<br/>지방(g) : 7.5<br/>비타민A(R.E) : 136.7<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 9.5<br/>칼슘(mg) : 123.1<br/>철분(mg) : 3.3,20221103
G10,대전광역시교육청,7451071,대전구봉초등학교,2,중식,20221128,785,차조밥  <br/>김치콩나물국  (9.)<br/>옥수수치즈구이  (2.5.6.8.9.)<br/>등갈비조림(바베큐)  (5.6.10.12.)<br/>깍두기  (9.)<br/>황금향  ,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,652.4 Kcal,탄수화물(g) : 78.9<br/>단백질(g) : 34.6<br/>지방(g) : 23.6<br/>비타민A(R.E) : 128.7<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 50.4<br/>칼슘(mg) : 254.6<br/>철분(mg) : 3.1,20221103
G10,대전광역시교육청,7451071,대전구봉초등학교,2,중식,20221125,785,율무밥  <br/>돈육짜글이찌개  (5.6.10.)<br/>도토리묵무침  (5.6.)<br/>치즈계란말이  (1.2.10.)<br/>깍두기  (9.)<br/>바나나  ,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,545.2 Kcal,탄수화물(g) : 79.2<br/>단백질(g) : 24.1<br/>지방(g) : 15.9<br/>비타민A(R.E) : 202.6<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 8.9<br/>칼슘(mg) : 176.9<br/>철분(mg) : 3.4,20221103
G10,대전광역시교육청,7451071,대전구봉초등학교,2,중식,20221124,785,고구마밥  <br/>우렁살된장국  (5.6.13.)<br/>오향장육/소스  (5.6.10.)<br/>상추겉절이  (5.6.13.)<br/>배추김치  (9.)<br/>귤  ,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,469.4 Kcal,탄수화물(g) : 65.5<br/>단백질(g) : 32.5<br/>지방(g) : 10.4<br/>비타민A(R.E) : 69.5<br/>티아민(mg) : 0.9<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 36.3<br/>칼슘(mg) : 231.7<br/>철분(mg) : 4.0,20221103
G10,대전광역시교육청,7451071,대전구봉초등학교,2,중식,20221123,785,톳콩나물밥/부추양념장  (5.6.16.)<br/>들깨감자국  (5.6.)<br/>배추겉절이  (9.)<br/>사과  <br/>소떡소떡  (1.5.6.10.15.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,544.3 Kcal,탄수화물(g) : 110.6<br/>단백질(g) : 17.1<br/>지방(g) : 5.1<br/>비타민A(R.E) : 44.1<br/>티아민(mg) : 0.2<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 6.5<br/>칼슘(mg) : 117.6<br/>철분(mg) : 2.5,20221103
G10,대전광역시교육청,7451071,대전구봉초등학교,2,중식,20221122,785,기장쌀밥  <br/>쇠고기버섯국  (5.6.16.)<br/>잡채  (5.6.10.)<br/>삼치데리구이  (5.6.18.)<br/>배추김치  (9.)<br/>배  ,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,525.2 Kcal,탄수화물(g) : 84.1<br/>단백질(g) : 28.1<br/>지방(g) : 9.5<br/>비타민A(R.E) : 134.4<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 12.2<br/>칼슘(mg) : 107.6<br/>철분(mg) : 2.7,20221103
G10,대전광역시교육청,7451071,대전구봉초등학교,2,중식,20221121,785,검정쌀밥  <br/>시금치콩나물국  (5.6.)<br/>아몬드뮤즐리멸치볶음  (5.6.)<br/>오리불고기  (5.6.)<br/>배추김치  (9.)<br/>김구이  ,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,574.3 Kcal,탄수화물(g) : 72.5<br/>단백질(g) : 26.3<br/>지방(g) : 22.3<br/>비타민A(R.E) : 331.4<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 17.1<br/>칼슘(mg) : 172.4<br/>철분(mg) : 4.3,20221103
G10,대전광역시교육청,7451071,대전구봉초등학교,2,중식,20221118,785,기장쌀밥  <br/>순두부찌개(해물)  (9.17.)<br/>다시마브로콜리/초장  (5.6.13.17.)<br/>공룡모양떡갈비조림  (5.6.10.18.)<br/>백김치  <br/>귤  ,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,555.2 Kcal,탄수화물(g) : 71.7<br/>단백질(g) : 29.6<br/>지방(g) : 18.1<br/>비타민A(R.E) : 83.8<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 49.5<br/>칼슘(mg) : 186.8<br/>철분(mg) : 4.1,20221103
G10,대전광역시교육청,7451071,대전구봉초등학교,2,중식,20221117,785,혼합곡밥  (5.)<br/>근대감자된장국  (5.6.13.)<br/>쇠고기두부조림  (5.6.16.18.)<br/>오징어김치전  (5.6.9.17.)<br/>깍두기  (9.)<br/>사과  ,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,517.8 Kcal,탄수화물(g) : 78.3<br/>단백질(g) : 19.9<br/>지방(g) : 14.8<br/>비타민A(R.E) : 198.1<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 5.5<br/>칼슘(mg) : 164.9<br/>철분(mg) : 11.3,20221103
